name,class,category,memory,vcpu,Physical Processor,clock_speed_ghz,Instance Storage,Network Performance,Availability Zones,price,1y_noup,1y_fullup,3y_noup,3y_fullup,avg_cost,burstable_cpu,cpu_vendor,instance_storage_type,storage_readops,storage_writeops,storage_size_per_device,storage_devices,ebs_base_throughput,ebs_base_iops,ebs_burst_throughput,ebs_burst_iops,network_upto,network_speed,network_speed_burst,Network_Perf,network_devices,consider,comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1.medium,a1,cpu,2,1,AWS Graviton Processor,2.3,EBS only,Up to 10 Gigabit,"use1-az2, use1-az4, use1-az6",0.0255,0.0161,0.015,0.011,0.0096,0.506862745098039,FALSE,graviton,other,0,0,0,0,37.5,2500,437.5,20000,TRUE,0.5,10,10,1,FALSE,
a1.large,a1,cpu,4,2,AWS Graviton Processor,2.3,EBS only,Up to 10 Gigabit,"use1-az2, use1-az4, use1-az6",0.051,0.0321,0.03,0.022,0.0192,0.506372549019608,FALSE,graviton,other,0,0,0,0,65.62,4000,437.5,20000,TRUE,0.75,10,10,1,FALSE,
a1.xlarge,a1,cpu,8,4,AWS Graviton Processor,2.3,EBS only,Up to 10 Gigabit,"use1-az2, use1-az4, use1-az6",0.102,0.0643,0.0599,0.0441,0.0384,0.506617647058823,FALSE,graviton,other,0,0,0,0,100,6000,437.5,20000,TRUE,1.25,10,10,1,FALSE,
a1.2xlarge,a1,cpu,16,8,AWS Graviton Processor,2.3,EBS only,Up to 10 Gigabit,"use1-az2, use1-az4, use1-az6",0.204,0.1285,0.12,0.0881,0.0767,0.506495098039216,FALSE,graviton,other,0,0,0,0,218.75,10000,437.5,20000,TRUE,2.5,10,10,1,FALSE,
a1.4xlarge,a1,cpu,32,16,AWS Graviton Processor,2.3,EBS only,Up to 10 Gigabit,"use1-az2, use1-az4, use1-az6",0.408,0.257,0.24,0.1763,0.1534,0.50655637254902,FALSE,graviton,other,0,0,0,0,437.5,20000,437.5,20000,TRUE,5,10,10,1,FALSE,
a1.metal,a1,cpu,32,16,AWS Graviton Processor,2.3,EBS only,Up to 10 Gigabit,"use1-az2, use1-az4, use1-az6",0.408,0.257,0.24,0.176,0.1534,0.506372549019608,FALSE,graviton,other,0,0,0,0,437.5,20000,437.5,20000,TRUE,5,10,10,1,FALSE,
c1.medium,c1,cpu,1.7,2,Intel Xeon Family,0,350 GB                 HDD,Moderate,"use1-az1, use1-az2, use1-az4, use1-az6",0.13,0.091,0.0766,unavailable,0.0489,0.555128205128205,FALSE,intel,hdd,0,0,350,1,0,0,0,0,FALSE,0,0,Moderate,1,TRUE,
c1.xlarge,c1,cpu,7,8,Intel Xeon Family,0,1680 GB                 (4 * 420 GB HDD),High,"use1-az1, use1-az2, use1-az4, use1-az6",0.52,0.364,0.3086,unavailable,0.1955,0.556474358974359,FALSE,intel,hdd,0,0,420,4,0,0,0,0,FALSE,0,0,High,1,TRUE,
c3.large,c3,cpu,3.75,2,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,32 GB                 (2 * 16 GB SSD),Moderate,"use1-az2, use1-az3, use1-az4, use1-az6",0.105,0.073,0.0619,unavailable,0.0388,0.551428571428571,FALSE,intel,ssd,0,0,16,2,0,0,0,0,FALSE,0,0,Moderate,1,TRUE,
c3.xlarge,c3,cpu,7.5,4,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,80 GB                 (2 * 40 GB SSD),Moderate,"use1-az2, use1-az3, use1-az4, use1-az6",0.21,0.146,0.1248,unavailable,0.0786,0.554603174603175,FALSE,intel,ssd,0,0,40,2,0,0,0,0,FALSE,0,0,Moderate,1,TRUE,
c3.2xlarge,c3,cpu,15,8,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,160 GB                 (2 * 80 GB SSD),High,"use1-az2, use1-az3, use1-az4, use1-az6",0.42,0.292,0.2477,unavailable,0.1572,0.553095238095238,FALSE,intel,ssd,0,0,80,2,0,0,0,0,FALSE,0,0,High,1,TRUE,
c3.4xlarge,c3,cpu,30,16,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,320 GB                 (2 * 160 GB SSD),High,"use1-az2, use1-az3, use1-az4, use1-az6",0.84,0.584,0.4966,unavailable,0.3145,0.553611111111111,FALSE,intel,ssd,0,0,160,2,0,0,0,0,FALSE,0,0,High,1,TRUE,
