name,category,id,service_id,provider_id,gpu,detailsname,vcpu,memory,clock_speed_ghz,physical_processor_description,cpu_vendor,previous_generation,ebs_base_throughput,ebs_base_iops,ebs_burst_throughput,ebs_burst_iops,network_performance_description,network_upto,network_speed,network_speed_burst,network_devices,storage_ssd,storage_size,storage_devices,storage_readops,storage_writeops,nvme_ssd,trim_support,storage_includes_swap_partition,storage_needs_initialization,consider_instance,comment,price_unit,price_region,price,price_platform,price_lifecycle
a1.medium,compute,aws-ec2-a1_medium,aws-ec2,aws,0,A1 Medium,1,2,2.3,AWS Graviton Processor,graviton,TRUE,37.5,2500,437.5,20000,Up to 10 Gigabit,true,0.5,10,1,false,0,0,0,0,false,false,false,false,true,,hour,us-east-1,0.0255,linux,on-demand
a1.large,compute,aws-ec2-a1_large,aws-ec2,aws,0,A1 Large,2,4,2.3,AWS Graviton Processor,graviton,TRUE,65.625,4000,437.5,20000,Up to 10 Gigabit,true,0.75,10,1,false,0,0,0,0,false,false,false,false,true,,hour,us-east-1,0.051,linux,on-demand
a1.xlarge,compute,aws-ec2-a1_xlarge,aws-ec2,aws,0,A1 Extra Large,4,8,2.3,AWS Graviton Processor,graviton,TRUE,100,6000,437.5,20000,Up to 10 Gigabit,true,1.25,10,1,false,0,0,0,0,false,false,false,false,true,,hour,us-east-1,0.102,linux,on-demand
a1.2xlarge,compute,aws-ec2-a1_2xlarge,aws-ec2,aws,0,A1 Double Extra Large,8,16,2.3,AWS Graviton Processor,graviton,TRUE,218.75,10000,437.5,20000,Up to 10 Gigabit,true,2.5,10,1,false,0,0,0,0,false,false,false,false,true,,hour,us-east-1,0.204,linux,on-demand
a1.4xlarge,compute,aws-ec2-a1_4xlarge,aws-ec2,aws,0,A1 Quadruple Extra Large,16,32,2.3,AWS Graviton Processor,graviton,TRUE,437.5,20000,437.5,20000,Up to 10 Gigabit,true,5,10,1,false,0,0,0,0,false,false,false,false,true,,hour,us-east-1,0.408,linux,on-demand
a1.metal,compute,aws-ec2-a1_metal,aws-ec2,aws,0,A1 Metal,16,32,2.3,AWS Graviton Processor,graviton,TRUE,437.5,20000,437.5,20000,Up to 10 Gigabit,true,5,10,1,false,0,0,0,0,false,false,false,false,true,,hour,us-east-1,0.408,linux,on-demand
c1.medium,compute,aws-ec2-c1_medium,aws-ec2,aws,0,C1 High-CPU Medium,2,1.7,0,Intel Xeon Family,intel,TRUE,,,,,Moderate,false,0,0,1,false,350,1,0,0,false,false,true,true,FALSE,,hour,us-east-1,0.13,linux,on-demand
c1.xlarge,compute,aws-ec2-c1_xlarge,aws-ec2,aws,0,C1 High-CPU Extra Large,8,7,0,Intel Xeon Family,intel,TRUE,,,,,High,false,0,0,1,false,420,4,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.52,linux,on-demand
c3.large,compute,aws-ec2-c3_large,aws-ec2,aws,0,C3 High-CPU Large,2,3.75,2.8,Intel Xeon E5-2680 v2 (Ivy Bridge),intel,TRUE,,,,,Moderate,false,0,0,1,true,16,2,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.105,linux,on-demand
c3.xlarge,compute,aws-ec2-c3_xlarge,aws-ec2,aws,0,C3 High-CPU Extra Large,4,7.5,2.8,Intel Xeon E5-2680 v2 (Ivy Bridge),intel,TRUE,,,,,Moderate,false,0,0,1,true,40,2,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.21,linux,on-demand
